Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2866,Motor Elite 7,100,56,0.56,3,01 - 03 - 32 - 36 - 43 - 60,01 - 12 - 17 - 19 - 36 - 60,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
2866,Aleatorio,100,56,0.56,2,01 - 08 - 12 - 30 - 46 - 54,01 - 12 - 17 - 19 - 36 - 60,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2867,Motor Elite 7,100,58,0.58,2,05 - 17 - 24 - 39 - 54 - 55,05 - 09 - 15 - 24 - 25 - 60,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2867,Aleatorio,100,59,0.59,2,12 - 20 - 25 - 32 - 49 - 60,05 - 09 - 15 - 24 - 25 - 60,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0
2868,Motor Elite 7,100,53,0.53,3,10 - 19 - 29 - 30 - 47 - 51,10 - 19 - 22 - 26 - 38 - 51,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2868,Aleatorio,100,64,0.64,3,01 - 11 - 19 - 26 - 30 - 38,10 - 19 - 22 - 26 - 38 - 51,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2869,Motor Elite 7,100,62,0.62,2,02 - 10 - 27 - 43 - 47 - 56,02 - 10 - 13 - 40 - 41 - 53,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2869,Aleatorio,100,62,0.62,3,08 - 13 - 28 - 40 - 41 - 55,02 - 10 - 13 - 40 - 41 - 53,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2870,Motor Elite 7,100,75,0.75,3,06 - 13 - 19 - 28 - 38 - 57,06 - 13 - 15 - 19 - 32 - 60,14,14.0,2,2.0,0,0.0,0,0.0,0,0.0
2870,Aleatorio,100,62,0.62,3,01 - 13 - 25 - 32 - 43 - 60,06 - 13 - 15 - 19 - 32 - 60,8,8.0,5,5.0,0,0.0,0,0.0,0,0.0
2871,Motor Elite 7,100,83,0.83,3,18 - 19 - 22 - 38 - 43 - 53,04 - 19 - 38 - 43 - 48 - 55,18,18.0,2,2.0,0,0.0,0,0.0,0,0.0
2871,Aleatorio,100,53,0.53,2,04 - 21 - 26 - 51 - 55 - 56,04 - 19 - 38 - 43 - 48 - 55,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2872,Motor Elite 7,100,52,0.52,2,05 - 14 - 23 - 38 - 57 - 60,08 - 23 - 32 - 34 - 35 - 57,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0
2872,Aleatorio,100,56,0.56,3,02 - 18 - 32 - 34 - 57 - 58,08 - 23 - 32 - 34 - 35 - 57,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2873,Motor Elite 7,100,76,0.76,3,05 - 17 - 34 - 38 - 56 - 57,04 - 05 - 17 - 27 - 52 - 56,8,8.0,4,4.0,0,0.0,0,0.0,0,0.0
2873,Aleatorio,100,63,0.63,2,05 - 31 - 36 - 48 - 56 - 57,04 - 05 - 17 - 27 - 52 - 56,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
2874,Motor Elite 7,100,60,0.6,3,05 - 16 - 17 - 34 - 50 - 53,04 - 05 - 09 - 17 - 49 - 53,9,9.0,1,1.0,0,0.0,0,0.0,0,0.0
2874,Aleatorio,100,65,0.65,3,01 - 03 - 04 - 09 - 15 - 49,04 - 05 - 09 - 17 - 49 - 53,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2875,Motor Elite 7,100,63,0.63,2,09 - 13 - 17 - 38 - 46 - 49,06 - 15 - 31 - 38 - 40 - 49,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
